ConstCom,TimelyInf,TaskMgm,DeviceSt,Wellness,Athlete,Style,AmznP,Female,Degree,Income,Age
6,5,6,4,4,5,5,0,1,1,1,31
3,5,3,4,5,6,4,1,1,1,2,27
7,6,5,4,3,4,4,0,0,2,3,36
6,2,3,3,4,5,3,1,1,1,2,32
6,4,6,6,6,4,5,1,1,1,3,35
4,4,3,3,4,4,3,0,0,1,3,32
7,7,5,6,1,1,3,0,1,2,5,40
4,3,4,1,4,4,3,1,0,1,3,39
4,4,2,3,4,5,4,1,1,1,3,37
7,5,7,6,6,4,6,1,1,2,5,39
5,4,4,6,7,5,7,1,1,2,5,41
6,5,4,1,5,4,3,0,1,1,3,37
2,1,3,2,2,4,3,1,1,1,3,42
5,4,1,2,4,4,4,0,0,1,3,33
5,5,3,6,4,2,4,0,1,1,4,37
5,4,5,6,7,5,6,0,1,2,3,37
5,4,3,6,5,3,3,1,0,2,4,45
6,4,6,6,7,5,7,1,1,2,4,39
4,3,3,2,4,3,3,0,0,1,3,42
4,5,3,5,2,1,4,1,1,1,4,47
5,5,6,4,4,4,4,0,1,2,3,33
4,2,3,2,4,3,4,1,1,1,3,33
5,4,2,4,6,5,4,1,1,1,5,25
7,7,6,6,5,3,3,0,1,2,3,37
3,6,5,4,4,3,3,1,1,2,4,37
4,4,6,4,5,5,5,0,1,2,2,31
6,6,3,3,3,2,4,1,1,1,3,34
6,6,6,2,5,5,4,0,1,1,2,25
4,7,4,3,3,2,3,0,1,1,2,45
3,5,3,5,3,3,3,1,0,1,3,42
7,4,6,4,4,4,3,0,1,2,5,38
4,3,5,5,6,6,4,1,0,2,5,27
3,3,3,5,3,4,4,1,0,1,3,37
5,5,6,6,2,2,3,1,0,2,5,44
5,5,6,3,6,4,5,0,1,1,2,25
5,5,4,6,6,5,6,0,1,2,3,32
1,1,1,1,1,2,4,1,1,1,4,39
6,4,4,4,5,6,4,1,1,1,4,30
6,4,3,4,5,4,5,0,0,1,4,47
5,4,3,4,7,3,6,1,0,1,3,40
5,7,6,4,3,4,3,1,0,2,3,38
4,4,3,3,6,3,4,1,0,1,4,32
6,6,5,5,5,3,5,1,0,2,3,35
5,5,3,1,4,4,4,0,0,1,2,33
5,4,5,5,5,4,3,0,0,2,5,45
5,5,4,6,6,4,5,0,1,2,5,36
6,5,5,6,6,5,7,0,1,2,5,30
6,5,6,6,7,5,6,1,1,2,3,28
4,4,4,6,5,6,6,1,1,1,3,30
2,2,2,5,5,6,4,1,1,1,5,25
3,1,3,1,3,4,4,1,1,1,3,41
5,3,5,6,7,5,6,1,1,2,3,25
3,4,3,3,5,4,4,0,0,1,3,40
7,1,3,1,3,4,4,1,0,1,3,33
6,4,3,2,3,2,4,0,1,1,4,39
3,6,4,4,5,3,4,1,0,2,3,35
3,7,6,7,5,2,5,0,1,2,3,41
6,6,6,3,6,5,4,0,1,1,3,25
6,5,6,3,4,4,5,1,1,1,2,27
1,2,6,3,5,5,5,0,1,1,2,25
2,6,3,2,4,3,4,1,0,1,3,39
7,2,3,1,3,4,4,1,1,1,2,40
5,3,3,2,4,4,3,1,0,1,4,34
7,4,6,4,4,5,4,0,1,1,2,32
3,5,3,4,5,3,4,0,0,2,3,37
7,6,3,4,4,2,4,0,1,2,4,40
5,5,5,6,7,4,7,1,1,2,5,39
2,4,3,4,1,1,4,1,0,1,3,39
1,5,6,1,6,5,4,0,1,1,3,25
5,5,6,5,1,1,4,1,1,2,4,35
5,4,3,5,5,3,4,1,1,2,4,42
7,5,6,4,4,4,3,1,1,2,3,40
5,4,3,1,4,4,4,0,0,1,4,38
5,5,6,4,6,5,7,1,1,2,5,34
5,6,2,6,5,7,4,1,1,1,2,26
6,5,3,3,5,3,5,0,1,1,3,42
5,5,3,3,7,4,5,0,1,1,3,46
6,6,3,1,3,2,4,0,0,1,4,41
5,5,3,4,4,4,6,0,1,1,2,39
6,5,6,4,7,5,7,1,1,2,3,30
3,2,3,3,4,4,3,1,1,1,2,40
1,1,1,1,3,4,4,1,0,1,4,34
3,3,3,3,3,4,3,0,0,1,3,39
4,3,3,2,3,3,3,0,1,1,2,42
5,4,3,4,5,4,3,0,0,1,3,33
3,2,2,7,6,6,6,1,0,1,4,28
